startPos_x,startPos_y,startPos_z,hitPos_z,hitPos_y,hitPos_z,rayDir_x,rayDir_y,rayDir_z,cross_x,cross_y,cross_z
0.04310535,1.034372,-10.04983,-5.015943,1.087674,-5.015943,0.6005491,0.04284006,0.7984394,0.1730937,0.7400892,-0.1699023
0.04301486,1.034326,-10.04975,-5.014378,1.085946,-5.014378,0.5997537,0.0414176,0.7991121,0.1673031,0.7460644,-0.1642334
0.04307788,1.034046,-10.04938,-5.013158,1.08211,-5.013158,0.5989634,0.03852789,0.799849,0.1555906,0.7523153,-0.1527516
0.0430749,1.033655,-10.04875,-5.007926,1.078254,-5.007926,0.5966141,0.03564626,0.8017362,0.14393,0.7695932,-0.141323
0.04336123,1.033245,-10.04841,-5.009387,1.07418,-5.009387,0.5969322,0.03278745,0.8016216,0.1324024,0.7678311,-0.1299996
0.04341628,1.033192,-10.04808,-5.00963,1.071759,-5.00963,0.5968914,0.03092554,0.8017258,0.1248967,0.7685306,-0.1226317
0.04332311,1.033327,-10.04809,-5.009082,1.071885,-5.009082,0.5966784,0.03089974,0.8018854,0.1247852,0.7700815,-0.1225262
0.04291842,1.033118,-10.04859,-5.007707,1.070706,-5.007707,0.5960625,0.03004889,0.8023756,0.1213133,0.774534,-0.1191265
0.04167167,1.03248,-10.04946,-5.00043,1.057771,-5.00043,0.5926233,0.02006987,0.8052297,0.08096865,0.8001323,-0.07953314
0.04292721,1.030918,-10.05027,-4.998643,1.029073,-4.998643,0.5912189,-0.001410122,0.8065099,-0.005635309,0.8096888,0.00554669
0.04263391,1.032559,-10.05151,-4.99381,1.036386,-4.99381,0.5893721,0.003218675,0.8078552,0.01318717,0.8220921,-0.01289612
0.04071088,1.034214,-10.05078,-4.967317,1.046337,-4.967317,0.5809125,0.009540441,0.8139101,0.03863071,0.8818822,-0.03790911
0.03904695,1.034463,-10.04828,-4.966994,1.038232,-4.966994,0.5810542,0.002912878,0.8138597,0.01173379,0.8833575,-0.01153894
0.03859505,1.033187,-10.04539,-4.985402,1.017456,-4.985402,0.5874689,-0.01262611,0.8091483,-0.05115993,0.8404024,0.05025763
0.03953609,1.029474,-10.04279,-4.979481,0.9807774,-4.979481,0.5874351,-0.03855145,0.8083525,-0.1558336,0.8379924,0.1532103
0.03945284,1.028038,-10.04093,-4.903562,0.9621987,-4.903562,0.5716732,-0.04873065,0.819033,-0.1964228,0.9448695,0.1933179
0.04184334,1.030518,-10.04244,-4.928149,0.9756547,-4.928149,0.5741498,-0.0415746,0.8176941,-0.167763,0.9273117,0.164944
0.04095588,1.030196,-10.04342,-4.925224,0.9744393,-4.925224,0.5736836,-0.04210057,0.8179943,-0.1698702,0.9305117,0.1670266
0.04064012,1.030323,-10.04483,-4.924757,0.9746477,-4.924757,0.5735096,-0.04196287,0.8181234,-0.1693036,0.9312904,0.1664502
0.03950252,1.032107,-10.04511,-4.930983,0.9887331,-4.930983,0.5737103,-0.0327865,0.8184018,-0.1321774,0.9321966,0.1300034
0.03823905,1.033762,-10.04539,-4.927728,1.008005,-4.927728,0.57206,-0.01946572,0.8199807,-0.07849845,0.9458244,0.07721764
0.03853271,1.033528,-10.04633,-4.912593,1.006774,-4.912593,0.5692874,-0.02011291,0.8218925,-0.08126574,0.9639835,0.07987915
0.03982136,1.032899,-10.047,-4.93678,1.00087,-4.93678,0.5740361,-0.02442449,0.8184657,-0.09859969,0.9300613,0.09690822
-0.03624623,1.035677,-10.02777,4.753253,1.062393,4.753253,-0.3476312,0.009048337,0.9375877,0.1086952,0.4561343,0.03589913
-0.03578685,1.03433,-10.02763,4.750443,1.02351,4.750443,-0.3419586,-0.003732345,0.9397076,-0.04498987,0.3791337,-0.01486591
-0.0350805,1.033834,-10.02764,4.7533,1.009976,4.7533,-0.3287143,-0.008163143,0.9443941,-0.09812669,0.2007661,-0.03241947
-0.03472267,1.034929,-10.02797,4.755551,1.032597,4.755551,-0.3224933,-0.0007597613,0.9465715,-0.009025248,0.1171441,-0.002980842
-0.03456993,1.03504,-10.02865,4.75572,1.037711,4.75572,-0.3222359,0.0009043431,0.946659,0.0108424,0.1137595,0.003582
-0.03401979,1.034899,-10.02895,4.757773,1.034876,4.757773,-0.3193591,-1.767976E-05,0.9476338,-0.0002390583,0.07495975,-7.916576E-05
-0.03351127,1.035247,-10.02934,4.763106,1.040937,4.763106,-0.3133343,0.00197918,0.9496408,0.02387314,-0.005738258,0.007888909
-0.03317765,1.03586,-10.02961,4.768143,1.054085,4.768143,-0.309111,0.006267003,0.9510053,0.07540493,-0.06212616,0.02491873
