startPos_x,startPos_y,startPos_z,hitPos_z,hitPos_y,hitPos_z,rayDir_x,rayDir_y,rayDir_z,cross_x,cross_y,cross_z
0.5768917,1.131094,-9.832879,-5.247138,1.093396,-5.247138,-0.1568022,-0.05169075,0.9862764,-0.1998598,0.1510652,-0.0238572
0.5771496,1.131003,-9.832956,-5.246974,1.092343,-5.246974,-0.1548403,-0.0530397,0.9865147,-0.2051003,0.1431757,-0.02449409
0.5771164,1.130771,-9.833031,-5.246774,1.090858,-5.246774,-0.1542027,-0.05471806,0.9865229,-0.2115762,0.1407424,-0.02526498
0.5768808,1.130903,-9.833418,-5.246899,1.091647,-5.246899,-0.1562657,-0.0537626,0.9862508,-0.2078664,0.1490785,-0.02480862
0.5767766,1.131021,-9.833728,-5.246912,1.09185,-5.246912,-0.1578863,-0.05365316,0.9859986,-0.2074748,0.1555827,-0.02475655
0.5768304,1.130872,-9.833701,-5.246755,1.090746,-5.246755,-0.1576404,-0.05497521,0.9859651,-0.2126049,0.1546015,-0.02537197
0.5770423,1.130844,-9.833811,-5.246793,1.090926,-5.246793,-0.1571825,-0.05466034,0.9860557,-0.211366,0.1526358,-0.02523176
0.5771363,1.130932,-9.834113,-5.246883,1.091567,-5.246883,-0.1579072,-0.05389902,0.9859819,-0.2084336,0.155436,-0.02488413
0.5771675,1.131052,-9.83425,-5.246922,1.091925,-5.246922,-0.1578263,-0.05356802,0.9860128,-0.2071546,0.1551021,-0.02473187
0.5773289,1.131152,-9.834372,-5.246919,1.091998,-5.246919,-0.1571119,-0.05359669,0.9861253,-0.2072611,0.1521748,-0.02475053
0.5772986,1.131134,-9.834334,-5.246879,1.0918,-5.246879,-0.15651,-0.05391104,0.986204,-0.208523,0.1498299,-0.02490199
0.5770884,1.130977,-9.834185,-5.246744,1.090744,-5.246744,-0.1574955,-0.05507017,0.985983,-0.2129626,0.1538903,-0.02542223
0.5771419,1.13116,-9.834071,-5.246896,1.091899,-5.246896,-0.1567613,-0.05377886,0.9861712,-0.2079755,0.1509077,-0.02483024
0.5773581,1.131144,-9.833846,-5.246917,1.092048,-5.246917,-0.156082,-0.05357949,0.9862899,-0.2072056,0.1480273,-0.02474916
0.5776104,1.130967,-9.833715,-5.246692,1.090501,-5.246692,-0.1556961,-0.05545488,0.9862472,-0.2144632,0.1463394,-0.02562832
0.5777853,1.130803,-9.833733,-5.246671,1.090203,-5.246671,-0.1553048,-0.05561633,0.9862998,-0.2150725,0.144666,-0.02570822
0.5777974,1.130812,-9.833594,-5.246668,1.090195,-5.246668,-0.1555001,-0.05564435,0.9862674,-0.2151777,0.1454092,-0.02572217
0.5776756,1.13063,-9.833347,-5.246528,1.089183,-5.246528,-0.1555675,-0.05679192,0.9861914,-0.2196198,0.1457703,-0.02624959
0.6059067,1.125932,-9.815307,-5.150087,1.038344,-5.150087,0.6497077,-0.08099456,0.7558571,-0.3116535,0.154212,0.284411
0.6058066,1.130787,-9.828383,-5.207055,1.075526,-5.207055,0.7020348,-0.05120968,0.7102991,-0.1974051,-0.2148015,0.179622
0.6033999,1.136996,-9.835625,-5.223408,1.12911,-5.223408,0.7180637,-0.006940099,0.6959428,-0.02652067,-0.330003,0.02407278
0.6015412,1.138119,-9.839279,-5.228313,1.155604,-5.228313,0.7252825,0.01612378,0.6882626,0.06231145,-0.38604,-0.05661935
0.5986418,1.13519,-9.840502,-5.223049,1.141113,-5.223049,0.7175108,0.005257403,0.6965276,0.02015075,-0.3259556,-0.01829748
0.5951443,1.133791,-9.842022,-5.204665,1.138999,-5.204665,0.6946305,0.004871638,0.7193502,0.01884488,-0.1558259,-0.017142
0.5919859,1.134279,-9.845035,-5.180329,1.144255,-5.180329,0.668382,0.009569976,0.7437567,0.03722112,0.032125,-0.03386237
0.5904637,1.136553,-9.847686,-5.167081,1.159746,-5.167081,0.65582,0.02193152,0.7545987,0.08515161,0.1185768,-0.07745136
0.5900406,1.137147,-9.847364,-5.163467,1.162711,-5.163467,0.6526116,0.02400664,0.7573122,0.09308454,0.1410162,-0.08468551
0.5894936,1.136018,-9.84434,-5.154186,1.154445,-5.154186,0.6441002,0.01714135,0.7647491,0.06630343,0.2021518,-0.06037433
0.5895385,1.134326,-9.841377,-5.147243,1.139021,-5.147243,0.6379129,0.004303699,0.7700965,0.01658604,0.2464831,-0.01511659
0.5903648,1.133961,-9.839895,-5.144738,1.137631,-5.144738,0.6357908,0.003445989,0.7718538,0.0133465,0.2611463,-0.01215967
